tmID,points,fgAttempted,ftAttempted,fg_percentage,ft_percentage,three_percentage,true_shooting_percentage,rebounds_per_minute,steals_per_minute,blocks_per_minute,assists_per_minute,assist_turnover_ratio,effective_fg_percentage_player,playoffs_percentage
ATL,12989.497,11145.106,3532.97,0.431,0.704,0.245,0.502,0.184,0.039,0.018,0.074,0.997,0.463,0.5
CHI,8093.497,7231.106,2545.97,0.369,0.73,0.217,0.462,0.138,0.039,0.013,0.083,1.303,0.408,
CON,10960.994,9466.212,3031.941,0.387,0.724,0.271,0.474,0.148,0.037,0.014,0.081,1.089,0.421,0.86
DET,47995.492,39985.317,13915.911,0.415,0.749,0.238,0.502,0.173,0.036,0.019,0.071,0.967,0.449,0.7
IND,18779.497,15072.106,6061.97,0.405,0.714,0.19,0.505,0.18,0.047,0.022,0.07,0.986,0.438,0.6
LAS,20003.249,16978.553,5575.985,0.417,0.751,0.3,0.502,0.184,0.039,0.028,0.078,0.929,0.455,0.9
MIN,7373.994,6123.212,1821.941,0.417,0.773,0.294,0.507,0.163,0.034,0.018,0.068,1.123,0.461,0.2
NYL,13006.497,11239.106,3259.97,0.393,0.712,0.238,0.485,0.169,0.039,0.017,0.067,0.874,0.442,0.7
PHO,18992.249,15858.553,4728.985,0.423,0.778,0.244,0.513,0.164,0.039,0.021,0.086,1.177,0.465,0.3
SAC,23178.994,20410.212,6915.941,0.397,0.701,0.235,0.482,0.153,0.05,0.013,0.085,1.102,0.434,0.8
SAS,13212.249,10884.553,3389.985,0.417,0.804,0.287,0.519,0.139,0.037,0.017,0.088,1.196,0.466,0.43
SEA,16629.249,13518.553,5139.985,0.414,0.712,0.255,0.497,0.167,0.037,0.029,0.085,1.072,0.446,0.7
WAS,10457.497,8664.106,3597.97,0.415,0.693,0.216,0.495,0.176,0.037,0.016,0.067,0.929,0.436,0.5
